date,name,id,Editer
2019/04/08,Logisticsで世界統一 part1,4D6B28hb6w8,iMovie
2019/04/12,OP 第2版,iA1NpgHXo38,iMovie
2019/05/24,Logisticsで世界統一 part2,eNf-6MTQQAY,iMovie
2019/06/04,Logisticsで世界統一 part3,vzxlh_R2sow,iMovie
2019/07/02,Logisticsで世界統一 part1~3 ノーカット,IVll8MgvzEs,iMovie
2019/08/24,Logisticsで世界統一 part4,V_gvr1EGONY,YMM4
2019/09/14,【ヤバイ】かーぼんさんの天気の子と原作比較してみた,fCM_DYEzwOo,DaVinci Resolve 16
2019/09/27,Logisticsで世界統一 part5,5gUy9wHrUy8,YMM4
2019/10/06,新オープニング（仮）,MpCtu0yR6Ck,AviUtl100
2019/11/23,新エンディング（仮）,pMWTqZ72gBE,AviUtl100
2020/01/25,【自作PC】MinecraftでFPS4桁出せるPCを組みました。Core i7+RTX2060【○○万!?】,Iz_If0BfX_E,YMM3 + AviUtl100